number,bg-file,remarks,human,message
1,/home/japanese-style-room/japanese-style-room4.jpg,和室,谷崎駿,家の和室だ。
2,/home/living/living4.jpg,リビング,谷崎駿,家のリビングだ。
3,/school/rooftop/rooftop10.jpg,屋上,谷崎駿,学校の屋上だ。ここからは誰も見えないが……。
4,/school/stairs/stairs-top4.jpg,階段（上）,谷崎駿,屋上に通ずる階段だ。
5,/home/room1/room1-4.jpg,書斎,谷崎駿,家の書斎だ。誰もいないようだ。
6,/home/outside/outside4.jpg,自宅のそば,谷崎駿,ここは俺の家の前だ。
7,/school/gate/gate4.jpg,校門,谷崎駿,ここは学校の校門だ。
8,/school/stairs/stairs-middle4.jpg,階段（中）,谷崎駿,学校の階段だ。上の階にも下の階にも行ける。
9,/school/entrance/entrance4.jpg,昇降口,谷崎駿,学校の昇降口だ。
10,/school/corridor1/corridor1-4.jpg,学校の廊下,谷崎駿,学校の廊下だ。音が響く。
11,/home/room2/room2-4.jpg,自室,谷崎駿,俺の部屋だ。まさかこんな所まで追ってこないとは思うが……。
12,/home/corridor/corridor4.jpg,家の廊下,谷崎駿,家の廊下だ。静かにしないと妹が起きてしまう。
13,/school/courtyard/courtyard4.jpg,中庭,谷崎駿,学校の中庭だ。暗闇に気配を感じる気がする。
14,/school/room1/room1-4.jpg,教室,谷崎駿,学校の教室だ。ここには誰にもいないようだ。
15,/home/room2-flat1/room2-flat1-4.jpg,空き部屋,谷崎駿,家の空き部屋だ。何も置くものはないので、客間として使っている
16,/school/pool/pool4.jpg,プール,谷崎駿,学校のプールだ。暗くて水の底が見えない。
17,/school/stairs/stairs-under4.jpg,階段（下）,谷崎駿,１階の階段だ。ここには誰もいないようだが……。
